url,title,seendate,domain,language,sourcecountry,headline_mention,outlet_type
https://www.governing.com/now/the-incompetence-of-woke-washed-governance,The Incompetence of  Woke - Washed  Governance,20220412T063000Z,governing.com,English,United States,False,unclassified
https://www.sfgate.com/local/article/Kraken-shuts-down-SF-offices-17081933.php,Kraken shuts down HQ because  San Francisco is not safe  ,20220415T010000Z,sfgate.com,English,United States,False,local
https://www.zerohedge.com/political/las-crime-surge-migrates-wealthy-zip-codes,  People Are Afraid  - LA Crime Surge Migrates To Wealthy Zip Codes,20220413T190000Z,zerohedge.com,English,United States,False,unclassified
https://sfbayview.com/2022/04/david-campos-wont-sell-us-out-vote-by-tuesday-april-19/,"David Campos wont sell us out ! Vote by Tuesday , April 19",20220416T063000Z,sfbayview.com,English,United States,False,local
https://www.mtshastanews.com/story/news/nation/2022/04/14/california-turning-point-crime-homelessness/7214726001/,Is California at a turning point over crime and homelessness ? ,20220414T164500Z,mtshastanews.com,English,United States,False,unclassified
https://sfbayview.com/2022/04/99095/,Chesa Boudin dares to wage war against systemic injustice – but will he be struck down before making headway ? ,20220415T160000Z,sfbayview.com,English,United States,True,local
https://www.mysanantonio.com/politics/article/Ted-Cruz-John-Legend-Twitter-17088849.php,Ted Cruz takes a jab at singer John Legend on Twitter,20220419T020000Z,mysanantonio.com,English,United States,False,unclassified
https://www.foxnews.com/politics/san-francisco-voters-duped-by-da-chesa-boudin-bay-area-residents,"San Francisco voters  duped  by DA , Chesa Boudin has  got to go , say Bay Area residents",20220425T150000Z,foxnews.com,English,United States,True,national
https://beyondchron.org/chesa-boudin-is-in-deep-political-trouble/,Chesa Boudin in Deep Political Trouble,20220425T150000Z,beyondchron.org,English,United States,True,unclassified
https://www.nbcbayarea.com/news/local/labor-unions-rally-support-for-sf-district-attorney-chesa-boudin/2872309/,Labor Unions Rally Support for SF District Attorney Chesa Boudin,20220424T024500Z,nbcbayarea.com,English,United States,True,local
https://news.yahoo.com/san-francisco-voters-duped-da-133807031.html,"San Francisco voters  duped  by DA , Chesa Boudin has  got to go , say Bay Area residents",20220425T161500Z,news.yahoo.com,English,United States,True,unclassified
