date,chesa_boudin_matches,chesa_boudin_pct_of_us,chesa_boudin_pct_of_global,boudin_recall_matches,boudin_recall_pct_of_us,boudin_recall_pct_of_global,us_total_monitored,global_norm
20210314T000000Z,0,0.0,0.0,0,0.0,0.0,44610,230628
20210315T000000Z,0,0.0,0.0,0,0.0,0.0,95019,392200
20210316T000000Z,2,0.001959,0.000478,1,0.00098,0.000239,102079,418834
20210317T000000Z,8,0.007603,0.001877,0,0.0,0.0,105225,426273
20210318T000000Z,70,0.067536,0.016828,2,0.00193,0.000481,103648,415973
20210319T000000Z,2,0.002048,0.000503,0,0.0,0.0,97650,397271
20210320T000000Z,1,0.001878,0.0004,0,0.0,0.0,53247,249955
20210321T000000Z,0,0.0,0.0,0,0.0,0.0,41866,226753
20210322T000000Z,13,0.014972,0.00338,2,0.002303,0.00052,86830,384572
20210323T000000Z,23,0.02221,0.005468,0,0.0,0.0,103558,420660
20210324T000000Z,2,0.001917,0.000474,0,0.0,0.0,104351,422002
20210325T000000Z,67,0.061724,0.01575,1,0.000921,0.000235,108548,425408
20210326T000000Z,9,0.008741,0.00222,2,0.001942,0.000493,102968,405401
20210327T000000Z,10,0.018038,0.003966,2,0.003608,0.000793,55439,252157
20210328T000000Z,8,0.018257,0.003509,0,0.0,0.0,43819,227962
20210329T000000Z,2,0.002348,0.000532,1,0.001174,0.000266,85179,376131
20210330T000000Z,6,0.006086,0.001442,2,0.002029,0.000481,98595,416220
20210331T000000Z,7,0.006837,0.001652,1,0.000977,0.000236,102386,423604
20210401T000000Z,5,0.004963,0.001243,3,0.002978,0.000746,100742,402365
20210402T000000Z,3,0.00347,0.000882,1,0.001157,0.000294,86452,340309
20210403T000000Z,2,0.004033,0.000858,0,0.0,0.0,49594,232977
20210404T000000Z,0,0.0,0.0,0,0.0,0.0,38855,211641
20210405T000000Z,4,0.005205,0.001257,4,0.005205,0.001257,76853,318343
20210406T000000Z,1,0.001051,0.000252,2,0.002102,0.000504,95140,397183
20210407T000000Z,4,0.003912,0.000964,4,0.003912,0.000964,102251,414740
20210408T000000Z,5,0.005065,0.001226,4,0.004052,0.000981,98717,407848
20210409T000000Z,2,0.002073,0.000512,1,0.001037,0.000256,96461,390248
20210410T000000Z,0,0.0,0.0,0,0.0,0.0,53770,247005
20210411T000000Z,1,0.002352,0.000442,1,0.002352,0.000442,42523,226188
20210412T000000Z,2,0.002331,0.000526,0,0.0,0.0,85784,380105
20210413T000000Z,1,0.001006,0.000245,0,0.0,0.0,99421,407615
20210414T000000Z,1,0.001007,0.000247,0,0.0,0.0,99274,405065
20210415T000000Z,2,0.001988,0.000489,0,0.0,0.0,100588,408883
20210416T000000Z,2,0.002121,0.000511,0,0.0,0.0,94315,391221
20210417T000000Z,1,0.001967,0.000413,0,0.0,0.0,50849,242394
20210418T000000Z,1,0.002421,0.000449,0,0.0,0.0,41308,222834
20210419T000000Z,6,0.00702,0.001587,4,0.00468,0.001058,85467,378187
20210420T000000Z,3,0.003008,0.000733,1,0.001003,0.000244,99722,409399
20210421T000000Z,6,0.00595,0.001486,1,0.000992,0.000248,100837,403666
20210422T000000Z,5,0.0048,0.001201,0,0.0,0.0,104173,416210
20210423T000000Z,7,0.007378,0.001806,1,0.001054,0.000258,94881,387641
20210424T000000Z,2,0.003695,0.000812,2,0.003695,0.000812,54134,246439
20210425T000000Z,3,0.006969,0.001316,1,0.002323,0.000439,43049,227957
20210426T000000Z,24,0.026978,0.006314,2,0.002248,0.000526,88962,380105
20210427T000000Z,13,0.013109,0.003222,2,0.002017,0.000496,99169,403525
20210428T000000Z,2,0.001944,0.00049,0,0.0,0.0,102875,408538
20210429T000000Z,1,0.000972,0.000244,1,0.000972,0.000244,102912,410524
20210430T000000Z,5,0.005084,0.001318,1,0.001017,0.000264,98339,379361
20210501T000000Z,6,0.01114,0.002559,2,0.003713,0.000853,53859,234433
20210502T000000Z,2,0.004633,0.00093,0,0.0,0.0,43169,215069
20210503T000000Z,3,0.003652,0.000918,0,0.0,0.0,82141,326859
20210504T000000Z,4,0.004174,0.001091,2,0.002087,0.000546,95834,366636
20210505T000000Z,20,0.019356,0.005117,2,0.001936,0.000512,103326,390845
20210506T000000Z,71,0.068543,0.017782,2,0.001931,0.000501,103584,399273
20210507T000000Z,20,0.021081,0.005254,1,0.001054,0.000263,94873,380651
20210508T000000Z,36,0.070894,0.014448,6,0.011816,0.002408,50780,249175
20210509T000000Z,2,0.004687,0.000891,0,0.0,0.0,42672,224361
20210510T000000Z,11,0.013013,0.003035,0,0.0,0.0,84528,362397
20210511T000000Z,7,0.006931,0.001742,0,0.0,0.0,100996,401775
20210512T000000Z,1,0.000958,0.000247,0,0.0,0.0,104408,404441
20210513T000000Z,4,0.003942,0.001058,1,0.000985,0.000264,101475,378186
20210514T000000Z,4,0.00424,0.001087,1,0.00106,0.000272,94344,368120
20210515T000000Z,7,0.013377,0.002992,1,0.001911,0.000427,52327,233930
20210516T000000Z,6,0.014418,0.002764,0,0.0,0.0,41614,217078
20210517T000000Z,0,0.0,0.0,0,0.0,0.0,83077,366389
20210518T000000Z,4,0.004027,0.000999,0,0.0,0.0,99334,400577
20210519T000000Z,10,0.009738,0.002454,7,0.006817,0.001718,102689,407435
20210520T000000Z,5,0.005022,0.001232,4,0.004017,0.000986,99571,405834
20210521T000000Z,11,0.012039,0.002886,3,0.003283,0.000787,91373,381142
20210522T000000Z,2,0.003943,0.000828,1,0.001972,0.000414,50722,241441
20210523T000000Z,1,0.0025,0.000462,1,0.0025,0.000462,39997,216325
20210524T000000Z,6,0.007567,0.001736,1,0.001261,0.000289,79292,345639
20210525T000000Z,6,0.006218,0.001529,4,0.004145,0.001019,96499,392442
20210526T000000Z,2,0.002028,0.000504,1,0.001014,0.000252,98601,396901
20210527T000000Z,8,0.00812,0.001991,3,0.003045,0.000747,98527,401744
20210528T000000Z,12,0.012978,0.00318,1,0.001082,0.000265,92462,377409
20210529T000000Z,3,0.006231,0.001288,1,0.002077,0.000429,48149,232977
20210530T000000Z,0,0.0,0.0,0,0.0,0.0,39111,212810
20210531T000000Z,4,0.00777,0.001234,1,0.001943,0.000308,51479,324150
20210601T000000Z,1,0.001156,0.000266,1,0.001156,0.000266,86502,376617
20210602T000000Z,4,0.004115,0.00104,0,0.0,0.0,97210,384568
20210603T000000Z,2,0.002035,0.000524,1,0.001018,0.000262,98257,381811
20210604T000000Z,30,0.032108,0.008114,1,0.00107,0.00027,93436,369739
20210605T000000Z,1,0.001928,0.00043,0,0.0,0.0,51864,232348
20210606T000000Z,1,0.002471,0.000468,0,0.0,0.0,40462,213886
20210607T000000Z,4,0.004833,0.001128,3,0.003624,0.000846,82771,354476
20210608T000000Z,1,0.001029,0.000258,0,0.0,0.0,97219,388002
20210609T000000Z,1,0.001013,0.000255,0,0.0,0.0,98691,392876
20210610T000000Z,0,0.0,0.0,0,0.0,0.0,101433,391875
20210611T000000Z,4,0.004241,0.001073,3,0.003181,0.000805,94321,372657
20210612T000000Z,4,0.007615,0.001724,3,0.005711,0.001293,52529,231988
20210613T000000Z,0,0.0,0.0,0,0.0,0.0,41976,210210
20210614T000000Z,2,0.002452,0.000587,1,0.001226,0.000294,81572,340462
20210615T000000Z,8,0.008037,0.002058,5,0.005023,0.001286,99543,388720
20210616T000000Z,35,0.03523,0.008941,1,0.001007,0.000255,99348,391468
20210617T000000Z,38,0.038721,0.009773,1,0.001019,0.000257,98139,388809
20210618T000000Z,13,0.014531,0.003545,2,0.002236,0.000545,89462,366728
20210619T000000Z,22,0.045403,0.009735,1,0.002064,0.000443,48455,225981
20210620T000000Z,3,0.0074,0.001419,0,0.0,0.0,40541,211344
20210621T000000Z,9,0.011073,0.002569,3,0.003691,0.000856,81278,350375
20210622T000000Z,7,0.007394,0.00183,2,0.002113,0.000523,94668,382590
20210623T000000Z,3,0.002944,0.000767,2,0.001962,0.000511,101912,391285
20210624T000000Z,66,0.066556,0.017069,62,0.062522,0.016035,99165,386663
20210625T000000Z,2,0.002172,0.000546,1,0.001086,0.000273,92072,366127
20210626T000000Z,0,0.0,0.0,0,0.0,0.0,50243,229660
20210627T000000Z,1,0.00235,0.000471,1,0.00235,0.000471,42551,212448
20210628T000000Z,0,0.0,0.0,0,0.0,0.0,83126,353609
20210629T000000Z,0,0.0,0.0,1,0.001019,0.000263,98134,380027
20210630T000000Z,7,0.006709,0.001778,0,0.0,0.0,104330,393756
20210701T000000Z,10,0.009739,0.002566,1,0.000974,0.000257,102684,389707
20210702T000000Z,3,0.0033,0.000837,1,0.0011,0.000279,90902,358279
20210703T000000Z,4,0.008286,0.001804,3,0.006214,0.001353,48275,221766
20210704T000000Z,5,0.01232,0.002426,2,0.004928,0.00097,40584,206103
20210705T000000Z,4,0.007119,0.001243,2,0.003559,0.000622,56190,321800
20210706T000000Z,8,0.009365,0.00219,3,0.003512,0.000821,85429,365276
20210707T000000Z,10,0.009989,0.002574,2,0.001998,0.000515,100106,388453
20210708T000000Z,6,0.006196,0.001566,2,0.002065,0.000522,96833,383126
20210709T000000Z,13,0.014265,0.003614,4,0.004389,0.001112,91130,359733
20210710T000000Z,2,0.004005,0.000885,0,0.0,0.0,49943,225901
20210711T000000Z,3,0.007578,0.001447,1,0.002526,0.000482,39589,207277
20210712T000000Z,4,0.005005,0.001158,0,0.0,0.0,79919,345276
20210713T000000Z,6,0.006262,0.001583,2,0.002087,0.000528,95814,379105
20210714T000000Z,8,0.008068,0.002084,2,0.002017,0.000521,99158,383837
20210715T000000Z,7,0.007033,0.001823,0,0.0,0.0,99533,383965
20210716T000000Z,3,0.003304,0.000828,1,0.001101,0.000276,90805,362193
20210717T000000Z,2,0.003777,0.000861,1,0.001889,0.000431,52947,232246
20210718T000000Z,1,0.0025,0.00048,1,0.0025,0.00048,40006,208346
20210719T000000Z,4,0.004913,0.00117,1,0.001228,0.000292,81412,341886
20210720T000000Z,1,0.001045,0.000275,0,0.0,0.0,95739,363247
20210721T000000Z,17,0.017543,0.004648,1,0.001032,0.000273,96903,365772
20210722T000000Z,22,0.023821,0.006043,3,0.003248,0.000824,92354,364050
20210723T000000Z,4,0.004586,0.001137,1,0.001146,0.000284,87225,351774
20210724T000000Z,1,0.002141,0.00045,0,0.0,0.0,46710,222263
20210725T000000Z,2,0.00516,0.000968,0,0.0,0.0,38758,206625
20210726T000000Z,7,0.009122,0.002059,0,0.0,0.0,76739,339918
20210727T000000Z,5,0.005479,0.001357,2,0.002191,0.000543,91262,368488
20210728T000000Z,4,0.004209,0.001073,1,0.001052,0.000268,95039,372945
20210729T000000Z,7,0.007819,0.002055,5,0.005585,0.001468,89529,340575
20210730T000000Z,7,0.009293,0.002371,1,0.001328,0.000339,75329,295176
20210731T000000Z,0,0.0,0.0,0,0.0,0.0,37607,179518
20210801T000000Z,8,0.024231,0.004525,2,0.006058,0.001131,33015,176789
20210802T000000Z,2,0.002959,0.000715,0,0.0,0.0,67580,279820
20210803T000000Z,4,0.004969,0.001282,3,0.003727,0.000961,80502,312044
20210804T000000Z,3,0.003619,0.000918,2,0.002413,0.000612,82897,326653
20210805T000000Z,1,0.001242,0.00032,0,0.0,0.0,80489,312187
20210806T000000Z,3,0.004404,0.001087,3,0.004404,0.001087,68114,275945
20210807T000000Z,0,0.0,0.0,0,0.0,0.0,27235,145166
20210808T000000Z,1,0.003788,0.000696,0,0.0,0.0,26402,143688
20210809T000000Z,1,0.001698,0.000388,1,0.001698,0.000388,58876,257737
20210810T000000Z,4,0.006337,0.001504,0,0.0,0.0,63119,265910
20210811T000000Z,2,0.002906,0.000723,2,0.002906,0.000723,68819,276749
20210812T000000Z,4,0.00625,0.001483,4,0.00625,0.001483,63998,269766
20210813T000000Z,2,0.003987,0.000865,0,0.0,0.0,50159,231316
20210814T000000Z,1,0.005435,0.000912,0,0.0,0.0,18400,109615
20210815T000000Z,2,0.011683,0.001855,0,0.0,0.0,17119,107839
20210816T000000Z,0,0.0,0.0,0,0.0,0.0,43209,215053
20210817T000000Z,4,0.00806,0.001755,2,0.00403,0.000877,49625,227926
20210818T000000Z,7,0.014005,0.003035,4,0.008003,0.001734,49982,230675
20210819T000000Z,26,0.032173,0.007763,16,0.019799,0.004777,80812,334923
20210820T000000Z,4,0.004793,0.001181,1,0.001198,0.000295,83447,338763
20210821T000000Z,1,0.002133,0.000457,1,0.002133,0.000457,46882,218918
20210822T000000Z,0,0.0,0.0,0,0.0,0.0,39659,203092
20210823T000000Z,3,0.003977,0.000908,0,0.0,0.0,75434,330440
20210824T000000Z,183,0.203433,0.050439,7,0.007782,0.001929,89956,362811
20210825T000000Z,38,0.040161,0.010188,2,0.002114,0.000536,94620,372972
20210826T000000Z,36,0.040434,0.00987,1,0.001123,0.000274,89034,364724
20210827T000000Z,12,0.014342,0.003524,0,0.0,0.0,83669,340515
20210828T000000Z,3,0.00623,0.001342,1,0.002077,0.000447,48151,223521
20210829T000000Z,1,0.002571,0.000488,0,0.0,0.0,38896,204924
20210830T000000Z,4,0.005257,0.001206,2,0.002629,0.000603,76083,331616
20210831T000000Z,4,0.004398,0.001086,1,0.0011,0.000271,90943,368455
20210901T000000Z,7,0.00731,0.00184,0,0.0,0.0,95760,380462
20210902T000000Z,4,0.004395,0.001068,0,0.0,0.0,91003,374522
20210903T000000Z,7,0.008277,0.001989,1,0.001182,0.000284,84567,351895
20210904T000000Z,0,0.0,0.0,0,0.0,0.0,44148,219237
20210905T000000Z,3,0.008102,0.001467,3,0.008102,0.001467,37030,204550
20210906T000000Z,5,0.010459,0.001622,3,0.006275,0.000973,47808,308314
20210907T000000Z,1,0.001247,0.000279,1,0.001247,0.000279,80164,357952
